name,type,metric_type,require,value,notes
Purdue University,SAT,Minimum Score,Required,600,Minimum score required for the Evidence-based Reading and Writing section.
Purdue University,ACT,Minimum Score,Required,26,Minimum score required on the English section.
Purdue University,TOEFL,Minimum Score,Conditionally Required,88,"Minimum score for exams taken before January 21, 2026."
Purdue University,TOEFL,Minimum Score,Conditionally Required,4.5,"Minimum score for exams taken on or after January 21, 2026."
Purdue University,IELTS,Minimum Score,Conditionally Required,6.5,"Minimum score required, with at least 6.0 in each section."
Purdue University,Duolingo,Minimum Score,Conditionally Required,115,"Generally, applicants have a 110 or higher in all individual subscores."
The Pennsylvania State University,TOEFL,Competitive Score,Conditionally Required,80,"No strict minimum, but this is the competitive score."
The Pennsylvania State University,IELTS,Competitive Score,Conditionally Required,6.5,"No strict minimum, but this is the competitive score."
The Pennsylvania State University,Duolingo,Competitive Score,Conditionally Required,105,"No strict minimum, but this is the competitive score."
The Pennsylvania State University,PTE,Competitive Score,Conditionally Required,53,"No strict minimum, but this is the competitive score."
The Pennsylvania State University,Cambridge English,Competitive Score,Conditionally Required,169,"No strict minimum, but this is the competitive score."
The Pennsylvania State University,iTEP,Competitive Score,Conditionally Required,3.7,"No strict minimum, but this is the competitive score."
