name,question,answer,category
Boston University,What is the BU Promise?,"The BU Promise guarantees that Boston University will meet 100% of demonstrated financial need for all domestic first-year students without the use of loans. Students from families with incomes under $200,000 can expect financial aid support that covers full tuition and a portion of housing and dining costs.",financial aid
Boston University,How do I apply as a first-year student?,"You must submit either the Common Application or the QuestBridge Application, along with required documents including a high school transcript, senior year grades, counselor recommendation, teacher evaluation, and optional standardized test scores.",first-year applicants
Boston University,What do international applicants need to submit?,"International applicants are required to submit the Common Application, secondary school records, senior year grades, counselor recommendation, teacher evaluation, evidence of English proficiency, financial support documentation, and a copy of the passport.",international students
"University of California, Berkeley",What is the selection process for first-year applicants?,"UC Berkeley uses a holistic review process, which means they evaluate all aspects of an application, including academics and personal experiences, without weighted emphasis on any one part.",Application Process
"University of California, Berkeley",Does UC Berkeley require standardized test scores for admission?,"No, UC Berkeley is test-free and does not consider SAT/ACT scores in the admissions process; however, these scores can be used for placement or credit if submitted.",Standardized Testing
"University of California, Berkeley",What is required for international applicants?,International applicants must either require a visa to study in the U.S. or have graduated high school outside the U.S. They must also prove their English proficiency.,International Students
"University of California, Berkeley",What are the costs associated with attending UC Berkeley?,"The cost of attendance includes tuition and fees, living expenses, and miscellaneous personal expenses. For non-residents, there is an additional nonresident tuition fee.",Financial Aid
"University of California, Berkeley",Are letters of recommendation required for the application?,Letters of recommendation are not required but may be submitted by invited applicants to enhance their application.,Letters of Recommendation
"University of California, San Diego",How do I apply to UC San Diego?,"You can apply to UC San Diego by submitting the University of California Application, which opens on August 1 for the following Fall term.",Admissions
"University of California, San Diego",What majors are offered at UC San Diego?,UC San Diego offers a wide range of majors across multiple colleges; you can view the complete list of available majors on the university's website.,Academics & Majors
"University of California, San Diego",How much does it cost to attend UC San Diego?,"The cost of attendance varies by residency status (California resident vs. non-resident) and includes tuition, fees, living expenses, and other related costs.",Cost & Financial Aid
"University of California, San Diego",What are A-G requirements?,"A-G requirements are a series of college preparatory courses required for admission to the University of California system, ensuring that students are well-prepared for academic work at the university level.",First-Year
"University of California, San Diego",What English proficiency tests are accepted for international students?,"International students must demonstrate English proficiency through tests such as TOEFL, IELTS, or the Duolingo English Test, with minimum required scores specified by UC San Diego.",International Students
Purdue University,What is the application process for Purdue University?,"To apply to Purdue University, first-year students complete the Common Application, which includes an essay, responses to Purdue-specific questions, self-reported high school grades, and possibly SAT or ACT scores. The application must be submitted along with a fee or a fee waiver.",Admissions
Purdue University,What are the application deadlines for Purdue University?,The application deadline for Early Action is November 1. Make sure to submit all required materials by that date.,Admissions
Purdue University,What are the SAT/ACT requirements for Purdue University?,"Purdue accepts both SAT and ACT scores without a preference. Students may report their highest scores from different test dates, and around 97% of admitted students provided a test score.",Admissions
Purdue University,What are the English proficiency requirements for international students?,"International students whose primary language is not English must demonstrate English proficiency through exams like TOEFL, IELTS, or the Duolingo English Test, meeting specific score requirements.",International Students
Purdue University,What are the tuition and fee rates for 2025-2026?,Tuition rates vary based on the program of study and the number of credit hours. Detailed fee structures for undergraduate students can be viewed on the Bursar's Office website.,Tuition and Fees
The Pennsylvania State University,What is the application fee for Penn State?,"The application fee for domestic students is $65 and for international students, it is $75.",application
The Pennsylvania State University,What are the Early Action and Priority Admissions deadlines?,"The Early Action Deadline is November 1, and the Priority Admission Deadline is February 1.",admissions
The Pennsylvania State University,What are the minimum high school course requirements for a four-year degree at Penn State?,"For a four-year degree, students must complete 4 units of English, 3 units of social studies or humanities, 3 units of science, 3 units of math (including Algebra I, Algebra II, and Geometry), and 2 units of a world language.",requirements
The Pennsylvania State University,What are the steps for international students to apply to Penn State?,"International students should research programs and campuses, review admission requirements and deadlines, gather necessary documents, access the application through MyPennState or Common App, finalize details, submit the application, and check application status.",international
The Pennsylvania State University,What is the GPA range for the middle 50% of admitted students at University Park?,The middle 50% GPA for admitted students at University Park ranges from 3.63 to 3.94.,eligibility
